,Occurance %,Character
0,18.68,B
1,11.07,|
2,8.69,q
3,7.73,h
4,7.68,U
5,7.38,)
6,6.99,>
7,6.37,Q
8,5.95,E
9,3.88,j
10,3.84,d
11,3.69,\
12,3.34,$
13,2.47,+
14,2.12,r
15,2.03,R
16,1.94,4
17,1.82,`
18,1.78,l
19,1.34,","
20,1.05,G
21,0.96,@
22,0.94,P
23,0.79,A
24,0.79,"
"
25,0.47,%
26,0.41,}
27,0.3,5
28,0.3,(
29,0.26,s
30,0.26,/
31,0.22,z
32,0.21,?
33,0.2,t
34,0.2,f
35,0.2,H
36,0.16,V
37,0.15,T
38,0.14,X
39,0.14,;
40,0.14,8
41,0.14,2
42,0.11,J
43,0.1,-
44,0.09,c
45,0.09,F
46,0.07,~
47,0.07,D
48,0.07,<
49,0.07,.
50,0.06,3
51,0.05,{
52,0.05,x
53,0.05,v
54,0.05,a
55,0.05,W
56,0.05,!
57,0.04,p
58,0.04,k
59,0.04,I
60,0.03,i
61,0.03,Y
62,0.03,S
63,0.03,N
64,0.03,:
65,0.03,'
66,0.03,""""
67,0.02,K
68,0.01,y
69,0.01,m
70,0.01,]
71,0.01,O
72,0.01,9
73,0.01,7
74,0.01,*
